file,batch,nf,profile,injected_count,mutated_count,details
anomalous_logs/udm/batch_001_udm/udm_open5gs-udm-deployment-6bbdb7769b-s8nhx-udm.log,batch_001,udm,light,10,7,"original_anchor_line_number=22;inserted_after_line_number=31;anomaly_line_number=32;nf=udm;family=level_flip,timestamp_skew;micro_transforms=timestamp_skew;chosen_template_src_path=src/udm/nudm-handler.c;phase_name=None;phase_pattern="
anomalous_logs/udm/batch_001_udm/udm_open5gs-udm-deployment-6bbdb7769b-s8nhx-udm.log,batch_001,udm,light,10,7,original_anchor_line_number=18;inserted_after_line_number=23;anomaly_line_number=24;nf=udm;family=range_fuzz;micro_transforms=range_fuzz;chosen_template_src_path=src/udm/nudm-handler.c;phase_name=None;phase_pattern=
anomalous_logs/udm/batch_001_udm/udm_open5gs-udm-deployment-6bbdb7769b-s8nhx-udm.log,batch_001,udm,light,10,7,original_anchor_line_number=21;inserted_after_line_number=29;anomaly_line_number=30;nf=udm;family=level_flip;micro_transforms=;chosen_template_src_path=src/udm/nudm-handler.c;phase_name=None;phase_pattern=
anomalous_logs/udm/batch_001_udm/udm_open5gs-udm-deployment-6bbdb7769b-s8nhx-udm.log,batch_001,udm,light,10,7,original_anchor_line_number=3;inserted_after_line_number=3;anomaly_line_number=4;nf=udm;family=level_flip;micro_transforms=;chosen_template_src_path=src/udm/nudm-handler.c;phase_name=None;phase_pattern=
anomalous_logs/udm/batch_001_udm/udm_open5gs-udm-deployment-6bbdb7769b-s8nhx-udm.log,batch_001,udm,light,10,7,original_anchor_line_number=6;inserted_after_line_number=8;anomaly_line_number=9;nf=udm;family=range_fuzz;micro_transforms=range_fuzz;chosen_template_src_path=src/udm/sess-sm.c;phase_name=None;phase_pattern=
anomalous_logs/udm/batch_001_udm/udm_open5gs-udm-deployment-6bbdb7769b-s8nhx-udm.log,batch_001,udm,light,10,7,original_anchor_line_number=11;inserted_after_line_number=14;anomaly_line_number=15;nf=udm;family=level_flip;micro_transforms=;chosen_template_src_path=src/udm/udm-sm.c;phase_name=None;phase_pattern=
anomalous_logs/udm/batch_001_udm/udm_open5gs-udm-deployment-6bbdb7769b-s8nhx-udm.log,batch_001,udm,light,10,7,"original_anchor_line_number=13;inserted_after_line_number=17;anomaly_line_number=18;nf=udm;family=identifier_conflict,timestamp_skew;micro_transforms=timestamp_skew;chosen_template_src_path=src/udm/sess-sm.c;phase_name=None;phase_pattern="
anomalous_logs/udm/batch_001_udm/udm_open5gs-udm-deployment-6bbdb7769b-s8nhx-udm.log,batch_001,udm,light,10,7,"original_anchor_line_number=4;inserted_after_line_number=5;anomaly_line_number=6;nf=udm;family=timestamp_skew,range_fuzz;micro_transforms=timestamp_skew,range_fuzz;chosen_template_src_path=src/udm/nudm-handler.c;phase_name=None;phase_pattern="
anomalous_logs/udm/batch_001_udm/udm_open5gs-udm-deployment-6bbdb7769b-s8nhx-udm.log,batch_001,udm,light,10,7,"original_anchor_line_number=19;inserted_after_line_number=25;anomaly_line_number=26;nf=udm;family=identifier_conflict,range_fuzz;micro_transforms=range_fuzz;chosen_template_src_path=src/udm/nudr-handler.c;phase_name=None;phase_pattern="
anomalous_logs/udm/batch_001_udm/udm_open5gs-udm-deployment-6bbdb7769b-s8nhx-udm.log,batch_001,udm,light,10,7,"original_anchor_line_number=20;inserted_after_line_number=27;anomaly_line_number=28;nf=udm;family=timestamp_skew,level_flip;micro_transforms=timestamp_skew;chosen_template_src_path=src/udm/nudm-handler.c;phase_name=None;phase_pattern="
